node_1|node_2|edge|chunk_id
india|health indicators|India's health indicators have improved in recent times but continue to lag behind those of its peer nations.|4b44b0cbc2d9443c8b8509dbe263a4eb
india|active health workers density (doctors and nurses/midwives)|The country has an estimated active health workers density of 5.0 doctors and 6.0 nurses/midwives per 10,000 persons.|4b44b0cbc2d9443c8b8509dbe263a4eb
who threshold|active health workers density (doctors, nurses, and midwives)|The estimated active health workers density in India is much lower than the WHO threshold of 44.5 doctors, nurses, and midwives per 10,000 population.|4b44b0cbc2d9443c8b8509dbe263a4eb
skilled health workforce|healthcare|The paucity of skilled personnel must be addressed if India is to accelerate its progress toward achieving universal health coverage and its sustainable development goals (SDGs).|4b44b0cbc2d9443c8b8509dbe263a4eb
federal health budget|opportunity for augmenting skilled health workforce|The recent increase in the federal health budget offers an unprecedented opportunity to do this.|4b44b0cbc2d9443c8b8509dbe263a4eb
read approach|health system analysis in india|This article utilizes the ready materials, extract and analyze data, distill findings (READ) approach to add to the authors' experiential learning.|4b44b0cbc2d9443c8b8509dbe263a4eb
private health sector|medical tourism industry|The growing divide between public and private health sector systems, with the latter's booming medical tourism industry.|4b44b0cbc2d9443c8b8509dbe263a4eb
national medical council|health policies in india|Analyzed along with the newly minted National Medical Council to recommend policies that would help India achieve its SDGs.|4b44b0cbc2d9443c8b8509dbe263a4eb
categories|public health|Category under which the term is classified|314b98edc90a4d48ac444834991d1f2a
categories|epidemiology/public health|Category under which the term is classified|314b98edc90a4d48ac444834991d1f2a
keywords|indian public health standards|One of the Keywords related to Indian Public Health Standards|314b98edc90a4d48ac444834991d1f2a
keywords|auxiliary nurse midwives|Occupation mentioned in health sector context|314b98edc90a4d48ac444834991d1f2a
health sector reform|india|Location where the Health Sector Reform is being implemented|314b98edc90a4d48ac444834991d1f2a
health policy|human resource|Component of health policy related to human resources|314b98edc90a4d48ac444834991d1f2a
india|health indicators|India's health indicators have improved in recent times but continue to lag behind those of its peer nations.|729789511249431980174f368116a57d
who recommended thresholds|active health workers’ density in india|The country has an estimated active health workers’ density much lower than the WHO recommended thresholds [1].|729789511249431980174f368116a57d
inter-state divide|urban-rural divide|The issue is compounded by the skewed inter-state, urban-rural, and public-private sector divide.|729789511249431980174f368116a57d
skilled personnel|universal health coverage and sdgs|The paucity of skilled personnel is a multi-factorial issue and needs to be addressed if India is to accelerate its progress toward achieving universal health coverage and its sustainable development goals (SDGs).|729789511249431980174f368116a57d
public sector|private sector|They describe these issues by providing an overview of the public and private sectors and the growing divide between them due to their divergent strategies.|729789511249431980174f368116a57d
medical tourism industry|private sector in india|The latter now has a booming medical tourism industry.|729789511249431980174f368116a57d
national medical council|opportunities to address health personnel paucity|The recommendations made to address the paucity of quality health personnel include leveraging opportunities within the newly created National Medical Council.|729789511249431980174f368116a57d
federal health budget|health infrastructure development|Strengthening the health infrastructure is one of the recommendations to address the paucity of quality health personnel.|729789511249431980174f368116a57d
read approach|document analysis in health policy research|The methodology used is the READ approach [3], which is a systematic approach for document analysis in health policy research.|729789511249431980174f368116a57d
literature search|articles|Extensive literature search led to selection of articles|5cfe543c48b549f189395cb30610bd14
articles|peer-reviewed journals|Articles published in peer-reviewed journals between 2005 and 2021 were selected|5cfe543c48b549f189395cb30610bd14
experiential knowledge|analysis|Corresponding authors' experiential knowledge served as the foundation for analysis|5cfe543c48b549f189395cb30610bd14
government-funded health sector|vulnerable populations|provider of healthcare to vulnerable populations|5215ec9f2a5947bb957b199d55acb4ed
government-funded health sector|healthcare expenditure in india|chronically underfunded, with 1.28% of the GDP spent on healthcare|5215ec9f2a5947bb957b199d55acb4ed
india's public hospital beds|population density per 100,000 people|indicating a scarcity of public hospital beds at 0.7 per 100,000|5215ec9f2a5947bb957b199d55acb4ed
india's physicians in 2000|population per thousand people|indicating a shortage of doctors with only 0.576 physicians per 1,000 population|5215ec9f2a5947bb957b199d55acb4ed
national health mission (nhm)|healthcare services quality|aimed to increase the quantum of healthcare services but failed due to lack of focus on quality|5215ec9f2a5947bb957b199d55acb4ed
population in india|percentage with health insurance coverage|only 37% had any health insurance coverage by 2018|5215ec9f2a5947bb957b199d55acb4ed
private for-profit health sector|healthcare provider|dominant in providing healthcare due to perceived quality care|5215ec9f2a5947bb957b199d55acb4ed
private for-profit health sector|gdp|consumes 5.1% of the GDP, financed by Out-Of-Pocket expenditure|5215ec9f2a5947bb957b199d55acb4ed
narayana health|healthcare service provider|internationally accredited and high quality tertiary healthcare provider in the private sector|5215ec9f2a5947bb957b199d55acb4ed
informal provider clinics|medical care providers|establishments that provide medical care often manned by a solo provider without formal qualifications or registration|5215ec9f2a5947bb957b199d55acb4ed
world-class health facilities|urban areas|existence|b8a21542c68747f9a8f99bc7e591646e
india|leading destination for medical tourism|becoming due to health facilities|b8a21542c68747f9a8f99bc7e591646e
informal providers|urban slums and rural areas|concentrated in these locations|b8a21542c68747f9a8f99bc7e591646e
informal providers|trusted presence|built over long-standing trust|b8a21542c68747f9a8f99bc7e591646e
nhm strategies|health challenges|addressing through approaches|b8a21542c68747f9a8f99bc7e591646e
communitization approach|nhm strategies|one of the five approaches to address health challenges|b8a21542c68747f9a8f99bc7e591646e
primary healthcare|new cadres|created to accelerate universal health coverage|b8a21542c68747f9a8f99bc7e591646e
female community health workers|accredited social health activists (asha)|designation as a key cadre in the context|b553a0b8abd94b03bb28d2e645c49f5d
asha|population coverage ratio of 1,000 ashas per population|coverage rate or density|b553a0b8abd94b03bb28d2e645c49f5d
auxiliary nurse midwives (anm)|meant to serve a population of 5,000|original intended service coverage area|b553a0b8abd94b03bb28d2e645c49f5d
anms|realistically serving up to 20,000 people|actual versus intended service coverage difference|b553a0b8abd94b03bb28d2e645c49f5d
accredited social health activists (asha)|government employees or private contractors|employment status contrast with ANMs|b553a0b8abd94b03bb28d2e645c49f5d
anm training duration|18 months of training|comparison to ASHA's initial training period|b553a0b8abd94b03bb28d2e645c49f5d
asha education level|up to the eighth grade and sometimes less|educational comparison with ANMs|b553a0b8abd94b03bb28d2e645c49f5d
asha initial training duration|23 days’ initial training plus on-the-job short training|initial and supplementary training period for ASHAs compared to ANMs|b553a0b8abd94b03bb28d2e645c49f5d
asha payment model|payment proportionate to the amount of work performed|revenue generation method contrasting with salaried government employment|b553a0b8abd94b03bb28d2e645c49f5d
ashas and anms evaluation|health systems perspective synthesis with few positive findings|comparative outcome assessment of ASHAs and ANMs|b553a0b8abd94b03bb28d2e645c49f5d
government|rural medical assistants (rmas)|hiring on a contractual basis|6750efa5cc1c48b1841ae56d2ab464bb
rural medical assistants (rmas)|primary health centers|work at|6750efa5cc1c48b1841ae56d2ab464bb
rural medical assistants (rmas)|initial evaluation|positive results|6750efa5cc1c48b1841ae56d2ab464bb
paramedical personnel|courses|various courses ranging from six to 24 months|6750efa5cc1c48b1841ae56d2ab464bb
systemic integration pathways|undefined|remain undefined|6750efa5cc1c48b1841ae56d2ab464bb
ashas|contractors|ASHAs remain contractors|89d8d001e23b4a4ab91417e95d971a7b
doctors and nurses|contractual personnel|Doctors and nurses are being hired on a contractual basis, totaling 275,000 as per NHM inception|89d8d001e23b4a4ab91417e95d971a7b
contractual posts in rural areas|monetary incentives and preferential admission into residencies|Doctors are incentivized by monetary benefits and career advancement opportunities to accept contractual positions|89d8d001e23b4a4ab91417e95d971a7b
ayush trained doctors|allopathic medicine bridge courses|AYUSH doctors receive training in allopathic medicine as part of their medical education|89d8d001e23b4a4ab91417e95d971a7b
contractual employees|regular counterparts|Contractual employees have lower remuneration compared to regular employees|89d8d001e23b4a4ab91417e95d971a7b
public sector working conditions|demotivating environment|Working conditions in the public sector remain demotivating for personnel|89d8d001e23b4a4ab91417e95d971a7b
contractual employees|temporary nature of contracts|Temporary contracts are a cause of concern for contractual employees|89d8d001e23b4a4ab91417e95d971a7b
public sector infrastructure and supply chain|demotivation factor|Poor infrastructure and supply issues demotivate all public sector employees|89d8d001e23b4a4ab91417e95d971a7b
community violence against doctors|covid-19 pandemic incidents|Increasing community violence, especially during the COVID-19 pandemic, has affected doctors|89d8d001e23b4a4ab91417e95d971a7b
private health sector|for-profit private health sector|The private health sector is a segment within the broader context of healthcare industry.|df32a8bebfb54dc58f68e716cb69cf03
for-profit private health sector|unmet demand for healthcare services|The for-profit private health sector perceives opportunities in the unmet demand for healthcare services.|df32a8bebfb54dc58f68e716cb69cf03
for-profit private health sector|patients' preference|Patients see it as providing services that are more available and of a higher quality, making the for-profit private health sector preferred.|df32a8bebfb54dc58f68e716cb69cf03
private health sector|medicalization and corporatization|The trend towards medicalization and corporatization is largely unregulated within the private health sector.|df32a8bebfb54dc58f68e716cb69cf03
primary care|secondary and tertiraphic care|In many cases, primary care gets eclipsed by the more expensive secondary and tertiary care within the private health sector.|df32a8bebfb54dc58f68e716cb69cf03
private health sector (80s and 90s)|solo practitioners or small nursing homes|During the eighties and the nineties, the private health sector was largely made up of solo practitioners or small nursing homes.|df32a8bebfb54dc58f68e716cb69cf03
private health sector (turn of the century)|corporate houses in urban areas|Since the turn of the century, the private health sector has become dominated by corporate houses in urban areas.|df32a8bebfb54dc58f68e716cb69cf03
private health sector (present day)|tier ii and iii cities|The private health sector is rapidly expanding to tier II and III cities currently.|df32a8bebfb54dc58f68e716cb69cf03
private health sector|increased out of pocket expenditure (oop)|There has been a marked spike in increased OOP expenditure within the private health sector.|df32a8bebfb54dc58f68e716cb69cf03
private health sector|medical tourism destination|India, attracting patients from around the world due to its rapidly growing private health sector, has become a popular destination for medical tourism.|df32a8bebfb54dc58f68e716cb69cf03
private sector|medical colleges|has invested in setting up|d58f0c0b27824b06847eee7d3d5ae0dc
india|619 medical colleges|having the highest number per population worldwide as of May 21, 2020|d58f0c0b27824b06847eee7d3d5ae0dc
private sector medical colleges|doctors graduating from these colleges|graduates not attracted to government posts due to lower remuneration|d58f0c0b27824b06847eee7d3d5ae0dc
private sector doctors|largest employer in india|mostly employed in the private sector|d58f0c0b27824b06847eee7d3d5ae0dc
corporate sector|doctors' professional autonomy|imposes performance targets and practice constraints on doctors|d58f0c0b27824b06847eee7d3d5ae0dc
early career doctors|eroded status and opportunity|face simultaneous erosion of their status and opportunity|d58f0c0b27824b06847eee7d3d5ae0dc
national medical council (nmc)|medical commission|NMC revamped the previous inept Medical Commission|6e52eebc0c734a32978609e0ccc74066
health professionals|doctors and community health providers|Regulation by NMC|6e52eebc0c734a32978609e0ccc74066
nmc act|private corporate sector, pharmaceutical industries|Silence on interplay between private sector and medical education/healthcare services regulation|6e52eebc0c734a32978609e0ccc74066
healthcare services|universal health coverage|Clarity in NMC Act to ensure coordinated implementation for provision of universal health coverage|6e52eebc0c734a32978609e0ccc74066
central control of medical education|state adoption of medical education|Leeway limited by current centralization trend, impacting states' ability to tailor education according to India's diversity|6e52eebc0c734a32978609e0ccc74066
india's gdp|3.84% of india's gdp|represents the total expenditure on health in India|d6be91e0f9aa4854b035771915689996
us healthcare expenditure|close to 18% devoted by us|comparison with India's healthcare expenditure as a percentage of GDP|d6be91e0f9aa4854b035771915689996
government of india healthcare allocation|1.29% of its budget|the current allocation for healthcare by the Indian government|d6be91e0f9aa4854b035771915689996
